date,description,amount,balance
2024-01-01,Client Transfer,124176,1124176
2024-01-02,Client Transfer,-30593,1093583
2024-01-03,Invoice Payment,24272,1117855
2024-01-04,Vendor Payment,16507,1134362
2024-01-05,Loan EMI,-11624,1122738
2024-01-06,Loan EMI,116016,1238754
2024-01-07,GST Payment,52467,1291221
2024-01-08,Client Transfer,33398,1324619
2024-01-09,Salary,146806,1471425
2024-01-10,Salary,-54675,1416750
2024-01-11,Invoice Payment,139058,1555808
2024-01-12,GST Payment,98949,1654757
2024-01-13,Salary,73029,1727786
2024-01-14,Salary,56784,1784570
2024-01-15,Salary,100266,1884836
2024-01-16,Salary,94547,1979383
2024-01-17,Invoice Payment,119255,2098638
2024-01-18,Salary,72514,2171152
2024-01-19,GST Payment,-58905,2112247
2024-01-20,Client Transfer,99955,2212202
2024-01-21,Client Transfer,-63788,2148414
2024-01-22,Loan EMI,125928,2274342
2024-01-23,Loan EMI,-41834,2232508
2024-01-24,GST Payment,99973,2332481
2024-01-25,Client Transfer,-3226,2329255
2024-01-26,Loan EMI,103725,2432980
2024-01-27,Vendor Payment,89154,2522134
2024-01-28,Salary,28909,2551043
2024-01-29,Client Transfer,81132,2632175
2024-01-30,Invoice Payment,76930,2709105
2024-01-31,Client Transfer,120638,2829743
2024-02-01,Invoice Payment,57479,2887222
2024-02-02,Vendor Payment,64321,2951543
2024-02-03,Salary,16927,2968470
2024-02-04,Salary,100138,3068608
2024-02-05,Loan EMI,-18952,3049656
2024-02-06,Vendor Payment,85385,3135041
2024-02-07,Vendor Payment,-15640,3119401
2024-02-08,GST Payment,-24826,3094575
2024-02-09,Client Transfer,-8222,3086353
2024-02-10,Invoice Payment,-30431,3055922
2024-02-11,Salary,16066,3071988
2024-02-12,Vendor Payment,139820,3211808
2024-02-13,Vendor Payment,19125,3230933
2024-02-14,Invoice Payment,-60661,3170272
2024-02-15,Loan EMI,-3864,3166408
2024-02-16,Salary,-46865,3119543
2024-02-17,Salary,-69145,3050398
2024-02-18,Salary,-9080,3041318
2024-02-19,Vendor Payment,-69369,2971949
2024-02-20,Loan EMI,3247,2975196
2024-02-21,Client Transfer,-64418,2910778
2024-02-22,Loan EMI,107955,3018733
2024-02-23,Client Transfer,117844,3136577
2024-02-24,Salary,13648,3150225
2024-02-25,Salary,74587,3224812
2024-02-26,Loan EMI,-44872,3179940
2024-02-27,Loan EMI,143396,3323336
2024-02-28,Vendor Payment,-71812,3251524
2024-02-29,Invoice Payment,148458,3399982
2024-03-01,Invoice Payment,-61867,3338115
2024-03-02,Loan EMI,-47898,3290217
2024-03-03,Vendor Payment,118184,3408401
2024-03-04,Loan EMI,117729,3526130
2024-03-05,Salary,85112,3611242
2024-03-06,Salary,129267,3740509
2024-03-07,Client Transfer,10845,3751354
2024-03-08,GST Payment,-11586,3739768
2024-03-09,GST Payment,-78639,3661129
2024-03-10,GST Payment,-194,3660935
2024-03-11,Loan EMI,-22516,3638419
2024-03-12,Vendor Payment,126300,3764719
2024-03-13,Client Transfer,-58752,3705967
2024-03-14,Invoice Payment,-16952,3689015
2024-03-15,GST Payment,-32290,3656725
2024-03-16,Loan EMI,13352,3670077
2024-03-17,GST Payment,143077,3813154
2024-03-18,Salary,114629,3927783
2024-03-19,Loan EMI,-49614,3878169
2024-03-20,Loan EMI,56333,3934502
2024-03-21,Salary,-33059,3901443
2024-03-22,Loan EMI,-25392,3876051
2024-03-23,Vendor Payment,-31952,3844099
2024-03-24,Client Transfer,145086,3989185
2024-03-25,Salary,57639,4046824
2024-03-26,Invoice Payment,146014,4192838
2024-03-27,Invoice Payment,-49912,4142926
2024-03-28,GST Payment,47138,4190064
2024-03-29,Salary,46154,4236218
2024-03-30,GST Payment,-56344,4179874
2024-03-31,Client Transfer,66458,4246332
2024-04-01,Client Transfer,31885,4278217
2024-04-02,Salary,9414,4287631
2024-04-03,Salary,15806,4303437
2024-04-04,Invoice Payment,109268,4412705
2024-04-05,Vendor Payment,64814,4477519
2024-04-06,Invoice Payment,25327,4502846
2024-04-07,Salary,14654,4517500
2024-04-08,GST Payment,-696,4516804
2024-04-09,GST Payment,-53695,4463109
2024-04-10,Invoice Payment,102171,4565280
2024-04-11,Vendor Payment,-43225,4522055
2024-04-12,Salary,-51678,4470377
2024-04-13,Loan EMI,134163,4604540
2024-04-14,Client Transfer,30804,4635344
2024-04-15,Salary,-78137,4557207
2024-04-16,Vendor Payment,108106,4665313
2024-04-17,GST Payment,-58632,4606681
2024-04-18,Invoice Payment,90748,4697429
2024-04-19,GST Payment,-22639,4674790
2024-04-20,Vendor Payment,-5298,4669492
2024-04-21,Vendor Payment,18343,4687835
2024-04-22,Invoice Payment,36971,4724806
2024-04-23,GST Payment,131061,4855867
2024-04-24,Client Transfer,97267,4953134
2024-04-25,Client Transfer,76255,5029389
2024-04-26,Salary,-5179,5024210
2024-04-27,Loan EMI,-47546,4976664
2024-04-28,Invoice Payment,112648,5089312
2024-04-29,Salary,65194,5154506
2024-04-30,Vendor Payment,-79430,5075076
2024-05-01,Loan EMI,-5793,5069283
2024-05-02,Vendor Payment,-52246,5017037
2024-05-03,Loan EMI,136181,5153218
2024-05-04,Invoice Payment,122258,5275476
2024-05-05,Client Transfer,145985,5421461
2024-05-06,GST Payment,127668,5549129
2024-05-07,GST Payment,105715,5654844
2024-05-08,Vendor Payment,97063,5751907
2024-05-09,Loan EMI,129285,5881192
2024-05-10,GST Payment,-28374,5852818
2024-05-11,Loan EMI,-28546,5824272
2024-05-12,Salary,12019,5836291
2024-05-13,Salary,80433,5916724
2024-05-14,Vendor Payment,26638,5943362
2024-05-15,Loan EMI,138890,6082252
2024-05-16,Client Transfer,47531,6129783
2024-05-17,Client Transfer,-4537,6125246
2024-05-18,Vendor Payment,32727,6157973
2024-05-19,Salary,119744,6277717
2024-05-20,Salary,-57800,6219917
2024-05-21,Client Transfer,29291,6249208
2024-05-22,Client Transfer,-1368,6247840
2024-05-23,Invoice Payment,9297,6257137
2024-05-24,Salary,93203,6350340
2024-05-25,GST Payment,37667,6388007
2024-05-26,Vendor Payment,128825,6516832
2024-05-27,Invoice Payment,-64963,6451869
